Date,Return
5/15/2015,0.002596091
5/18/2015,0.027026119
5/19/2015,-0.008033928
5/20/2015,-0.049980958
5/21/2015,0.001606767
5/22/2015,-0.020119225
5/26/2015,0.063349322
5/27/2015,0.030018281
5/28/2015,-0.011148454
5/29/2015,0.031711743
6/1/2015,0.012954609
6/2/2015,0.03212001
6/3/2015,-0.044355528
6/4/2015,0.025456318
6/5/2015,-0.089048805
6/8/2015,0.073537639
6/9/2015,0.046741093
6/10/2015,0.026934966
6/11/2015,-0.022700652
6/12/2015,0.069709536
6/15/2015,-0.004442313
6/16/2015,-0.016431238
6/17/2015,0.01779105
6/18/2015,0.009895021
6/19/2015,-0.021447171
6/22/2015,-0.062453531
6/23/2015,-0.024220326
6/24/2015,-0.007497072
6/25/2015,0.003301749
6/26/2015,0.013455711
6/29/2015,0.01073439
6/30/2015,0.02920762
7/1/2015,0.038211806
7/2/2015,0.010592083
7/6/2015,0.023504975
7/7/2015,-0.020412799
7/8/2015,0.008775992
7/9/2015,0.023039174
7/10/2015,0.009229255
7/13/2015,0.030600824
7/14/2015,-0.035422455
7/15/2015,-0.002487248
7/16/2015,0.009400434
7/17/2015,-0.006561994
7/20/2015,-0.071919577
7/21/2015,-0.014338312
7/22/2015,0.016004198
7/23/2015,0.016749488
7/24/2015,-0.062208156
7/27/2015,0.012165328
7/28/2015,-0.00646801
7/29/2015,-0.00115864
7/30/2015,0.042329914
7/31/2015,0.028265201
8/3/2015,-0.023112178
8/4/2015,0.021737119
8/5/2015,-0.001139834
8/6/2015,0.022162842
8/7/2015,0.012996083
8/10/2015,0.005577704
8/11/2015,-0.030867543
8/12/2015,-0.001852009
8/13/2015,-0.017968275
8/14/2015,-0.033305689
8/17/2015,-0.034068703
8/18/2015,0.009150823
8/19/2015,0.034003627
8/20/2015,-0.011445543
8/21/2015,0.01806184
8/24/2015,-0.045100111
8/25/2015,0.030969547
8/26/2015,-0.05345405
8/27/2015,0.09117293
8/28/2015,-0.015878825
8/31/2015,-0.010154418
9/1/2015,-0.02302613
9/2/2015,-0.038924043
9/3/2015,-0.000843065
9/4/2015,-0.021031253
9/8/2015,-0.046312005
9/9/2015,0.044058222
9/10/2015,0.000284276
9/11/2015,0.029192235
9/14/2015,-0.117536003
9/15/2015,0.060235698
9/16/2015,0.026457917
9/17/2015,-0.040158052
9/18/2015,0.037957186
9/21/2015,0.010374215
9/22/2015,0.031750985
9/23/2015,0.031118114
9/24/2015,-0.064208411
9/25/2015,-0.027639245
9/28/2015,-0.053079767
9/29/2015,0.007967017
9/30/2015,-0.032281334
10/1/2015,0.043490171
10/2/2015,0.014622747
10/5/2015,0.000635623
10/6/2015,-0.010066744
10/7/2015,-0.000719546
10/8/2015,-0.022267823
10/9/2015,-0.004250828
10/12/2015,0.010130601
10/13/2015,-0.010188956
10/14/2015,0.017916067
10/15/2015,0.015429218
10/16/2015,-0.001124483
10/19/2015,-0.015426942
10/20/2015,-0.017862326
10/21/2015,0.029672372
10/22/2015,-0.006950659
10/23/2015,-0.032003885
10/26/2015,-0.00882884
10/27/2015,0.015787653
10/28/2015,0.010004348
10/29/2015,-0.011660743
10/30/2015,-0.034873333
11/2/2015,-0.015991998
11/3/2015,-0.03552383
11/4/2015,0.007829222
11/5/2015,-0.028033708
11/6/2015,0.043134702
11/9/2015,0.017737979
11/10/2015,0.009509326
11/11/2015,0.0094813
11/12/2015,0.016296783
11/13/2015,0.008310242
11/16/2015,0.011798428
11/17/2015,0.016887407
11/18/2015,-0.024518623
11/19/2015,-0.099686124
11/20/2015,-0.018923714
11/23/2015,-0.007059338
11/24/2015,-0.005807611
11/25/2015,-0.00495415
11/27/2015,0.01613458
11/30/2015,0.002615999
12/1/2015,-0.080186301
12/2/2015,0.030069586
12/3/2015,0.037770077
12/4/2015,0.000341286
12/7/2015,0.032511695
12/8/2015,-0.033401321
12/9/2015,-0.00654983
12/10/2015,0.011186583
12/11/2015,-0.078547535
12/14/2015,0.006939767
12/15/2015,0.006687415
12/16/2015,0.008479279
12/17/2015,0.02469624
12/18/2015,-0.003946989
12/21/2015,0.007881813
12/22/2015,0.046196236
12/23/2015,-0.058911385
12/24/2015,0.005731783
12/28/2015,0.012860563
12/29/2015,-0.011270256
12/30/2015,0.008370849
12/31/2015,0.003933268
1/4/2016,0.004339346
1/5/2016,0.002576349
1/6/2016,-0.012329426
1/7/2016,0.014268858
1/8/2016,-0.011017517
1/11/2016,-0.003863008
1/12/2016,0.007455251
1/13/2016,0.005250492
1/14/2016,0.028716229
1/15/2016,0.000712335
1/19/2016,-0.033782924
1/20/2016,0.059456834
1/21/2016,0.024363128
1/22/2016,0.003034844
1/25/2016,0.009796965
1/26/2016,-0.041146349
1/27/2016,-0.004496853
1/28/2016,-0.013519554
1/29/2016,-0.009282379
2/1/2016,-0.013061362
2/2/2016,0.026754319
2/3/2016,0.017522556
2/4/2016,-0.007346568
2/5/2016,-0.041411458
2/8/2016,-0.022336845
2/9/2016,0.050624795
2/10/2016,-0.01093574
2/11/2016,-0.021630752
2/12/2016,-0.021072873
2/16/2016,-0.025357682
2/17/2016,0.022273156
2/18/2016,0.032160238
2/19/2016,0.003342966
2/22/2016,-0.006511942
2/23/2016,-0.029332755
2/24/2016,-0.028485018
2/25/2016,-0.014154682
2/26/2016,-0.010029696
2/29/2016,-0.010449054
3/1/2016,-0.032830739
3/2/2016,-0.028631937
3/3/2016,-0.027951332
3/4/2016,0.012042066
3/7/2016,-0.003023744
3/8/2016,-0.015197416
3/9/2016,-0.022686391
3/10/2016,0.021794786
3/11/2016,-0.031829639
3/14/2016,0.007363639
3/15/2016,-0.069003287
3/16/2016,-0.004484724
3/17/2016,-0.039576954
3/18/2016,-0.016474456
3/21/2016,0.022257873
3/22/2016,0.085851092
3/23/2016,0.001671542
3/24/2016,-0.037456719
3/28/2016,0.020407455
3/29/2016,-0.014099367
3/30/2016,-0.037493039
3/31/2016,-0.041352948
4/1/2016,0.00890199
4/4/2016,-0.038128715
4/5/2016,-0.001312561
4/6/2016,-0.023801421
4/7/2016,-0.064570231
4/8/2016,-0.006568683
4/11/2016,0.018715493
4/12/2016,-0.024774694
4/13/2016,0.00469216
4/14/2016,0.002538043
4/15/2016,0.002404924
4/18/2016,-0.024790365
4/19/2016,0.047568958
4/20/2016,-0.014199794
4/21/2016,0.007886912
4/22/2016,-0.033294331
4/25/2016,-0.011870588
4/26/2016,0.026711513
4/27/2016,-0.018931967
4/28/2016,0.015677253
4/29/2016,-0.048849586
5/2/2016,-0.015607014
5/3/2016,-0.058763352
5/4/2016,0.041968232
5/5/2016,-0.078679774
5/6/2016,0.014684174
5/9/2016,0.027683194
5/10/2016,-0.011070801
5/11/2016,-0.024891839
5/12/2016,-0.068453337
5/13/2016,-0.053384969
5/16/2016,-0.029582427
5/17/2016,0.017701304
5/18/2016,0.045359585
5/19/2016,0.027062611
5/20/2016,0.059263406
5/23/2016,-0.006379429
5/24/2016,0.031283319
5/25/2016,0.034419939
5/26/2016,0.03243442
5/27/2016,-0.043409803
5/31/2016,0.020762578
6/1/2016,-0.003557266
6/2/2016,-0.01303608
6/3/2016,0.034357332
6/6/2016,-0.033580744
6/7/2016,0.016954055
6/8/2016,-0.004145345
6/9/2016,-0.036590413
6/10/2016,-0.012099969
6/13/2016,0.00826745
6/14/2016,0.06148328
6/15/2016,0.011441149
6/16/2016,-0.015874979
6/17/2016,0.016145988
6/20/2016,-0.025819769
6/21/2016,-0.023127944
6/22/2016,0.024659534
6/23/2016,0.009612172
6/24/2016,0.015702516
6/27/2016,-0.040774825
6/28/2016,0.006592951
6/29/2016,-0.028660354
6/30/2016,0.014058942
7/1/2016,0.03141208
7/5/2016,-0.008525015
7/6/2016,-0.013262657
7/7/2016,0.016990884
7/8/2016,0.026085788
7/11/2016,0.01289101
7/12/2016,0.033297365
7/13/2016,0.022003532
7/14/2016,-0.044338498
7/15/2016,-0.023023717
7/18/2016,0.003666257
7/19/2016,0.036284039
7/20/2016,-0.033689561
7/21/2016,-0.023187076
7/22/2016,0.021395002
7/25/2016,-0.006226205
7/26/2016,0.044164901
7/27/2016,0.001576622
7/28/2016,-0.018483566
7/29/2016,-0.00468245
8/1/2016,0.010430665
8/2/2016,-0.076909941
8/3/2016,0.000238343
8/4/2016,-0.012189281
8/5/2016,-0.015739297
8/8/2016,-0.03466283
8/9/2016,0.003854203
8/10/2016,-0.017208971
8/11/2016,-0.016914651
8/12/2016,0.003214857
8/15/2016,0.007632284
8/16/2016,0.030205555
8/17/2016,0.019196842
8/18/2016,-0.029978747
8/19/2016,-0.033147328
8/22/2016,-0.007485124
8/23/2016,0.008338704
8/24/2016,-0.011387743
8/25/2016,0.005499287
8/26/2016,-0.0098768
8/29/2016,-0.031841569
8/30/2016,0.004759038
8/31/2016,0.022963875
9/1/2016,0.00677552
9/2/2016,0.002057383
9/6/2016,0.016538809
9/7/2016,0.027270827
9/8/2016,0.053317839
9/9/2016,-0.008636528
9/12/2016,0.034452009
9/13/2016,0.022469295
9/14/2016,-0.032606985
9/15/2016,0.011923649
9/16/2016,0.043965309
9/19/2016,-0.056579335
9/20/2016,-0.006816079
9/21/2016,-0.010563199
9/22/2016,-0.009738064
9/23/2016,-0.015776495
9/26/2016,0.017156906
9/27/2016,-0.007331832
9/28/2016,-0.016647669
9/29/2016,-0.04786916
9/30/2016,0.008391643
10/3/2016,0.016781004
10/4/2016,-0.000763768
10/5/2016,-0.015418382
10/6/2016,-0.021205155
10/7/2016,0.005762665
10/10/2016,0.00669098
10/11/2016,-0.015913178
10/12/2016,0.00233642
10/13/2016,-0.008896214
10/14/2016,-0.022228849
10/17/2016,0.035114358
10/18/2016,0.001316901
10/19/2016,0.004587407
10/20/2016,0.008434761
10/21/2016,-0.008384959
10/24/2016,-0.021681966
10/25/2016,0.02616004
10/26/2016,0.007225406
10/27/2016,-0.027168622
10/28/2016,-0.026409336
10/31/2016,-0.009492195
11/1/2016,0.005837222
11/2/2016,0.047828696
11/3/2016,-0.012300927
11/4/2016,0.000972902
11/7/2016,0.059363149
11/8/2016,-0.00427411
11/9/2016,0.0330026
11/10/2016,0.007298377
11/11/2016,-0.196029724
11/14/2016,0.03103635
11/15/2016,-0.019854314
11/16/2016,0.033017209
11/17/2016,-0.027645532
11/18/2016,-0.05841177
11/21/2016,-0.006204822
11/22/2016,-0.010239981
11/23/2016,0.000297124
11/25/2016,0.014254689
11/28/2016,0.06696576
11/29/2016,-0.010751544
11/30/2016,-0.003197331
12/1/2016,-0.006542336
12/2/2016,0.013249083
12/5/2016,-0.031220014
12/6/2016,-0.036524619
12/7/2016,-0.051812698
12/8/2016,0.010631878
12/9/2016,-0.040764919
12/12/2016,-0.04010479
12/13/2016,-0.014596797
12/14/2016,-0.021224661
12/15/2016,-0.007304555
12/16/2016,-0.020419807
12/19/2016,0.038101482
12/20/2016,0.022148449
12/21/2016,-0.016565438
12/22/2016,0.058397564
12/23/2016,-0.01012098
12/27/2016,-0.013522252
12/28/2016,0.003392232
12/29/2016,-0.013024348
12/30/2016,0.067100662
1/3/2017,0.042167439
1/4/2017,0.015415804
1/5/2017,0.002058276
1/6/2017,-0.01936268
1/9/2017,0.008517151
1/10/2017,-0.032548427
1/11/2017,-0.001334859
1/12/2017,0.013739273
1/13/2017,0.018886442
